,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Saskatchewan,Miscellaneous expenditures,876,..,796,..,"1,422","1,405",..,"2,158",..,"1,013","1,625",..,"1,798",..,"1,363","2,031",..,"2,220",..,"1,995","3,356",..,"3,628",..,"2,900"
Alberta,Total expenditure,"41,912",..,"48,633",..,"43,045","64,135",..,"69,147",..,"68,279","90,535",..,"96,253",..,"87,366","123,132",..,"125,637",..,"123,531","188,395",..,"221,396",..,"194,515"
Alberta,Food expenditures,"5,133",..,"6,527",..,"6,623","8,389",..,"8,486",..,"9,882","10,868",..,"11,682",..,"10,714","11,538",..,"13,101",..,"14,132","13,373",..,"16,783",..,"18,104"
Alberta,Shelter,"13,968",..,"15,738",..,"13,927","16,474",..,"17,370",..,"18,598","20,273",..,"21,722",..,"21,323","24,889",..,"26,203",..,"29,364","29,851",..,"31,870",..,"33,157"
Alberta,Household operations,"2,896",..,"3,573",..,"3,792","4,140",..,"5,071",..,"4,620","5,429",..,"6,111",..,"6,193","6,630",..,"8,158",..,"8,624","8,190",..,"9,673",..,"10,058"
Alberta,Household furnishings and equipment,"1,210",..,"1,204",..,"1,420","1,387",..,"1,795",..,"3,157","2,198",..,"2,214",..,"3,046","2,690",..,"2,616",..,"4,642",F,..,"5,030",..,"7,022"
Alberta,Clothing and accessories,"1,960",..,"1,591",..,"1,273","2,658",..,"2,913",..,"1,825","3,373",..,"3,697",..,"2,143","4,318",..,"3,627",..,"3,279","6,600",..,"6,121",..,"3,836"
Alberta,Private transportation,"5,508",..,"5,409",..,"4,847","10,142",..,"8,751",..,"7,545","12,466",..,"12,610",..,"9,146","19,959",..,"15,127",..,"13,800","22,772",..,"27,716",..,"16,792"
Alberta,Public transportation,829,..,"1,047",..,411,854,..,"1,084",..,521,"1,466",..,"1,678",..,692,"1,606",..,"1,745",..,682,"2,516",..,"2,923",..,831
Alberta,Health care,"1,532",..,"2,269",..,"1,404","2,288",..,"2,584",..,"2,397","3,013",..,"2,778",..,"2,989","3,067",..,"3,355",..,"3,276","3,951",..,"4,753",..,"4,079"
Alberta,Personal care,545,..,821,..,"1,278",823,..,"1,150",..,"1,395","1,344",..,"1,286",..,"1,800","1,531",..,"1,793",..,"1,513","2,422",..,"3,105",..,"2,882"
Alberta,Recreation,"1,829",..,"2,127",..,"1,716","2,881",..,"3,984",..,"3,250","4,077",..,"5,356",..,"4,421","5,335",..,"8,051",..,"5,190","8,824",..,"11,687",..,"7,889"
Alberta,Education,"1,091",..,"1,516",..,F,866,..,989,..,"1,653","1,490",..,936,..,"1,806","1,806",..,"1,719",..,"3,120","3,333",..,"3,407",..,"4,768"
Alberta,Reading materials and other printed matter,F,..,F,..,109,104,..,F,..,163,F,..,181,..,193,221,..,219,..,264,266,..,262,..,312
Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,320",..,"1,397",..,..,"1,823",..,"1,726",..,..,"1,801",..,"1,810",..,..,"2,614",..,"1,838",..,..,"2,995",..,"2,397"
Alberta,Tobacco products and alcoholic beverages (Terminated),917t,..t,..t,..t,..t,"1,509t",..t,..t,..t,..t,"1,517t",..t,..t,..t,..t,"3,008t",..t,..t,..t,..t,"2,649t",..t,..t,..t,..t
Alberta,Games of chance,186,..,F,..,F,F,..,F,..,208,F,..,F,..,F,F,..,F,..,F,F,..,189,..,F
Alberta,Miscellaneous expenditures,"1,055",..,"1,696",..,"1,253","1,527",..,"1,548",..,"1,726","2,074",..,"2,345",..,"1,451","2,641",..,"2,610",..,"1,658","3,933",..,"3,708",..,"3,488"
British Columbia,Total expenditure,"43,191",..,"47,354",..,"47,993","62,203",..,"65,672",..,"63,398","83,586",..,"85,394",..,"83,794","105,244",..,"121,422",..,"115,593","169,598",..,"190,294",..,"188,540"
British Columbia,Food expenditures,"5,175",..,"6,388",..,"8,348","7,964",..,"8,803",..,"8,932","9,643",..,"9,926",..,"10,175","11,492",..,"13,265",..,"12,942","14,380",..,"14,799",..,"16,295"
British Columbia,Shelter,"13,994",..,"15,645",..,"16,666","17,277",..,"18,102",..,"18,129","19,228",..,"20,928",..,"22,375","24,134",..,"26,456",..,"28,011","34,126",..,"38,185",..,"37,761"
British Columbia,Household operations,"2,930",..,"3,296",..,"4,070","3,830",..,"3,937",..,"4,068","5,522",..,"5,263",..,"5,448","5,476",..,"6,647",..,"7,017","7,258",..,"10,533",..,"9,672"
British Columbia,Household furnishings and equipment,"1,384",..,"1,413",..,"2,078","1,641",..,"1,497",..,"2,239","2,342",..,"2,799",..,"2,627","2,217",..,"3,011",..,"4,063","4,053",..,"3,976",..,"5,586"
British Columbia,Clothing and accessories,"1,781",..,"1,751",..,"1,329","2,205",..,"2,491",..,"1,643","3,391",..,"2,681",..,"2,572","3,849",..,"5,396",..,"3,095","6,311",..,"6,130",..,"3,941"
British Columbia,Private transportation,"5,394",..,"5,900",..,"3,399","9,095",..,"8,775",..,"8,448","11,640",..,"12,385",..,"9,536","15,069",..,"13,911",..,"13,041","20,206",..,"19,967",..,"16,158"
British Columbia,Public transportation,"1,197",..,"1,330",..,684,"1,109",..,"1,492",..,508,"1,704",..,"1,460",..,659,"1,866",..,"2,249",..,801,"2,694",..,"3,785",..,"1,101"
British Columbia,Health care,"1,767",..,"2,086",..,"1,864","3,042",..,"2,845",..,"2,634","3,089",..,"3,125",..,"2,905","3,746",..,"3,308",..,"3,295","3,658",..,"4,672",..,"4,163"
British Columbia,Personal care,672,..,689,..,"1,085","1,004",..,985,..,"1,207","1,287",..,"1,204",..,"1,260","1,257",..,"1,598",..,"1,863","2,191",..,"2,399",..,"2,451"
British Columbia,Recreation,"1,680",..,"1,767",..,"2,157","2,418",..,"3,081",..,"2,589","4,379",..,"4,567",..,"4,731","5,185",..,"6,832",..,"6,765","8,086",..,"9,969",..,"7,602"
British Columbia,Education,"2,228",..,"2,037",..,"1,349","1,237",..,"2,626",..,F,"2,442",..,"1,063",..,"2,030","1,971",..,"2,782",..,"2,692","4,255",..,"3,274",..,"4,233"
British Columbia,Reading materials and other printed matter,73,..,152,..,159,124,..,123,..,130,207,..,162,..,182,209,..,152,..,223,183,..,321,..,304
British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,591",..,"1,592",..,..,"1,571",..,"1,798",..,..,"1,764",..,"2,018",..,..,"1,915",..,"2,601",..,..,"2,068",..,"2,978"
British Columbia,Tobacco products and alcoholic beverages (Terminated),"1,169t",..t,..t,..t,..t,880t,..t,..t,..t,..t,"1,729t",..t,..t,..t,..t,"1,598t",..t,..t,..t,..t,"2,254t",..t,..t,..t,..t
British Columbia,Games of chance,F,..,F,..,F,276,..,166,..,F,74,..,150,..,F,F,..,99,..,109,F,..,89,..,235
British Columbia,Miscellaneous expenditures,"1,184",..,918,..,538,"1,331",..,"1,560",..,"1,346","1,843",..,"2,781",..,"1,562","2,223",..,"2,350",..,"2,480","3,476",..,"3,872",..,"3,992"
